Numero |Descripción                                 |Duración   |Predecesoras
1      | Actividad 01                               |  2        |--
2      | Actividad 02                               |  3        |1,3
3      | Actividad 03                               |  5        |1                            
4      | Actividad 04                               |  4        |3
5      | Actividad 05                               |  4        |4,9
6      | Actividad 06                               |  2        |5,2
7      | Actividad 07                               |  2        |6,4
8      | Actividad 08                               |  3        |7
9      | Actividad 09                               |  1        |8,7
10     | Actividad 10                               |  1        |5,8
